match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
7903661179,6650216138,56,38.0,1724018447,2592,2,,78,63,51,1830,260,35,17,False
6544706684,5467019397,50,5.0,1651127273,1658,2,,127,48,63,256,1975,23,40,True
2444774503,2138180579,18,17.0,1466247828,1256,2,,175,51,63,1796,2038,6,19,True
8544865416,7177146874,58,3.0,1762368311,2006,2,,24,63,0,2038,0,35,15,False
5389175932,4517931622,45,13.0,1588301679,2324,2,,0,51,63,262,1972,27,44,True
7374654598,6207631920,53,3.0,1696910538,1364,2,,10,63,63,1972,1591,36,27,False
7501007998,6313156436,54,8.0,1703271851,1451,2,,8,51,63,390,1974,25,49,True
4910500982,4120365619,41,5.0,1563455539,1702,2,,118,63,51,2046,1542,36,20,False
7435996300,6256420175,53,38.0,1699826350,1563,2,,0,0,63,0,1983,9,43,True
5477780621,4591481351,45,13.0,1592568241,1430,2,,63,63,3,2039,516,39,21,False
2874166439,2507176141,20,2.0,1482789009,1615,2,,43,63,0,2036,1536,39,8,False
6274698379,5245579157,49,3.0,1636902825,1437,2,,217,63,63,2046,1974,22,8,False
3127397550,2731189569,24,12.0,1492597438,1873,2,,334,63,0,2046,1536,23,11,False
7875349666,6626995074,56,25.0,1722500937,2303,2,,147,31,55,1588,1796,29,11,False
8405929125,7060442115,58,3.0,1754526054,1843,2,,115,51,55,390,1798,25,35,True
6439849127,5382466485,49,3.0,1645289650,1969,2,,78,63,47,2036,1588,25,15,False
7614778547,6409212923,54,3.0,1709273097,1648,2,,261,61,51,1952,262,37,21,False
5136469164,4309904697,42,5.0,1575190544,2137,2,,78,63,15,1572,38,29,23,False
8069336231,6786316064,56,3.0,1733482212,1575,2,,101,63,51,2046,1927,42,21,False
6940019896,5820776277,51,3.0,1672175442,2312,2,,6,63,0,1972,1536,45,27,False
7808765113,6573057389,55,5.0,1719034989,1316,2,,0,63,15,2047,1574,51,12,False
6203395260,5188178888,49,8.0,1633033809,1641,2,,113,63,13,2038,1568,38,25,False
7865388222,6618798126,55,15.0,1721983373,1310,2,,0,56,63,1984,1983,25,30,True
2367179963,2072716220,17,12.0,1463398199,1442,2,,219,63,63,1828,1975,4,16,True
6974098635,5851681819,51,3.0,1673932197,2286,2,,80,63,63,1824,1575,39,34,False
7430753474,6252571768,53,8.0,1699629011,1337,2,,1,48,63,1536,1983,8,40,True
7787793605,6556172141,55,3.0,1717996283,1582,2,,339,63,51,1974,1798,29,26,False
7715966154,6496262551,54,3.0,1714595004,2106,2,,0,63,51,1974,1798,48,38,False
5044718784,4231756392,41,3.0,1569675717,2122,2,,0,48,63,1792,1975,22,36,True
6177705159,5168132305,49,8.0,1631456370,432,2,,0,63,63,2039,2047,0,14,True
7068470476,5935657914,51,3.0,1679249973,1897,2,,138,51,63,1924,1982,15,50,True
7510969507,6322049856,54,3.0,1703822394,2067,2,,192,51,63,260,1828,27,37,True
7452773581,6270350867,53,3.0,1700664901,1715,2,,6,15,63,1572,1983,12,29,True
2997374158,2616991272,21,7.0,1487068826,2432,2,,143,2,63,1536,1828,8,29,True
6508530906,5437175577,50,5.0,1649061832,2194,2,,219,12,19,1072,0,30,20,False
3744484565,3252775357,28,3.0,1519158183,2585,2,,119,51,15,4,1574,23,33,True
7180668108,6035248834,52,3.0,1685598297,2234,2,,122,60,63,1824,1828,39,43,True
8198311129,6890305362,57,3.0,1740964585,2048,2,,109,51,63,774,1846,30,45,True
4158672090,3603527289,38,5.0,1538997297,2964,2,,0,0,63,0,1584,28,60,True
